from,to,condition,kind,target
ENTRY,INIT_EMBEDDED_MP_CP,always,call,_ZN5V90MPC1Ev/_ZN5V90CPC1Ev
INIT_EMBEDDED_MP_CP,DEBUG_CONSTRUCTION_MSG,dsplibs_debug_level>1,branch,
INIT_EMBEDDED_MP_CP,PRINT_TITLE,dsplibs_debug_level<=1,branch,
DEBUG_CONSTRUCTION_MSG,PRINT_TITLE,always,call,dsplibs_debug_printf
PRINT_TITLE,BUILD_SHARED_BLOCKS,always,call,_ZN8V90Modem10printTitleEv
BUILD_SHARED_BLOCKS,DISPATCH_SIDE,always,alloc_construct,V90Parameters/V90Phase2Info/V90Jd/V92Jd
DISPATCH_SIDE,BUILD_MODULATOR,side==0,branch,
DISPATCH_SIDE,BUILD_DEMODULATOR,side==1,branch,
DISPATCH_SIDE,SIDE_INVALID,else,branch,
BUILD_MODULATOR,RETURN,always,construct,_ZN12V90ModulatorC1...
BUILD_DEMODULATOR,RETURN,always,construct,_ZN14V90DemodulatorC1...
SIDE_INVALID,RETURN,always,debug_or_return,dsplibs_debug_printf(optional)
